"loan_id","loan_status","principal","terms","past_due_days","age","education","gender","default","age_group","loan_size"
"xqd20160027","PAIDOFF",800,"15",NA,39,"Bechalor","male",0,"Middle","Medium"
"xqd20170088","PAIDOFF",1000,"15",NA,34,"Bechalor","male",0,"Middle","Medium"
"xqd20160029","PAIDOFF",1000,"30",NA,31,"college","male",0,"Middle","Medium"
"xqd20160030","PAIDOFF",1000,"30",NA,33,"college","male",0,"Middle","Medium"
"xqd88160031","PAIDOFF",800,"15",NA,33,"High School or Below","male",0,"Middle","Medium"
"xqd20160032","PAIDOFF",1000,"30",NA,37,"college","male",0,"Middle","Medium"
"xqd20160033","PAIDOFF",1000,"30",NA,27,"college","male",0,"Middle","Medium"
"xqd22169034","PAIDOFF",1000,"30",NA,37,"college","male",0,"Middle","Medium"
"xqd20160035","PAIDOFF",800,"15",NA,33,"college","male",0,"Middle","Medium"
"xqd20160036","PAIDOFF",800,"15",NA,29,"Bechalor","male",0,"Middle","Medium"
"xqd20160037","PAIDOFF",1000,"30",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160038","PAIDOFF",700,"15",NA,33,"High School or Below","male",0,"Middle","Medium"
"xqd20160039","PAIDOFF",1000,"15",NA,24,"college","male",0,"Young","Medium"
"xqd20160040","PAIDOFF",1000,"30",NA,21,"Bechalor","male",0,"Young","Medium"
"xqd20160041","PAIDOFF",1000,"15",NA,32,"college","female",0,"Middle","Medium"
"xqd20160042","PAIDOFF",800,"15",NA,30,"college","male",0,"Middle","Medium"
"xqd20160043","PAIDOFF",1000,"7",NA,31,"Bechalor","male",0,"Middle","Medium"
"xqd20160044","PAIDOFF",1000,"15",NA,30,"college","male",0,"Middle","Medium"
"xqd20160045","PAIDOFF",1000,"15",NA,24,"Bechalor","female",0,"Young","Medium"
"xqd20160046","PAIDOFF",800,"7",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd20160047","PAIDOFF",1000,"30",NA,22,"High School or Below","male",0,"Young","Medium"
"xqd20160048","PAIDOFF",1000,"30",NA,32,"college","male",0,"Middle","Medium"
"xqd20160049","PAIDOFF",1000,"30",NA,32,"Bechalor","male",0,"Middle","Medium"
"xqd20160050","PAIDOFF",800,"15",NA,50,"High School or Below","male",0,"Senior","Medium"
"xqd20160051","PAIDOFF",800,"15",NA,27,"college","female",0,"Middle","Medium"
"xqd20160052","PAIDOFF",1000,"30",NA,35,"Bechalor","female",0,"Middle","Medium"
"xqd20160053","PAIDOFF",800,"15",NA,35,"Bechalor","female",0,"Middle","Medium"
"xqd20160054","PAIDOFF",1000,"30",NA,34,"High School or Below","male",0,"Middle","Medium"
"xqd20160055","PAIDOFF",1000,"30",NA,21,"High School or Below","male",0,"Young","Medium"
"xqd20160056","PAIDOFF",1000,"15",NA,25,"college","male",0,"Middle","Medium"
"xqd20160057","PAIDOFF",1000,"30",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160058","PAIDOFF",1000,"30",NA,26,"Bechalor","male",0,"Middle","Medium"
"xqd20160059","PAIDOFF",800,"15",NA,44,"High School or Below","female",0,"Middle","Medium"
"xqd20160060","PAIDOFF",800,"15",NA,39,"Master or Above","male",0,"Middle","Medium"
"xqd20160061","PAIDOFF",1000,"30",NA,34,"Bechalor","male",0,"Middle","Medium"
"xqd20160062","PAIDOFF",1000,"15",NA,37,"college","male",0,"Middle","Medium"
"xqd20160063","PAIDOFF",1000,"30",NA,34,"High School or Below","male",0,"Middle","Medium"
"xqd20160064","PAIDOFF",1000,"30",NA,45,"college","male",0,"Senior","Medium"
"xqd20160065","PAIDOFF",800,"15",NA,24,"High School or Below","male",0,"Young","Medium"
"xqd20160066","PAIDOFF",900,"15",NA,28,"college","male",0,"Middle","Medium"
"xqd20160067","PAIDOFF",1000,"30",NA,28,"Bechalor","male",0,"Middle","Medium"
"xqd20160068","PAIDOFF",1000,"30",NA,37,"High School or Below","male",0,"Middle","Medium"
"xqd20160069","PAIDOFF",300,"7",NA,35,"college","male",0,"Middle","Small"
"xqd20160070","PAIDOFF",1000,"30",NA,43,"Bechalor","male",0,"Middle","Medium"
"xqd20160071","PAIDOFF",800,"15",NA,29,"college","male",0,"Middle","Medium"
"xqd20160072","PAIDOFF",800,"15",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160073","PAIDOFF",1000,"30",NA,33,"Bechalor","female",0,"Middle","Medium"
"xqd20160074","PAIDOFF",1000,"15",NA,34,"college","male",0,"Middle","Medium"
"xqd20160075","PAIDOFF",1000,"15",NA,25,"college","male",0,"Middle","Medium"
"xqd20160076","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160077","PAIDOFF",1000,"30",NA,31,"Bechalor","male",0,"Middle","Medium"
"xqd20160078","PAIDOFF",1000,"30",NA,35,"college","male",0,"Middle","Medium"
"xqd20160079","PAIDOFF",1000,"30",NA,37,"college","female",0,"Middle","Medium"
"xqd20160080","PAIDOFF",1000,"30",NA,44,"High School or Below","female",0,"Middle","Medium"
"xqd20160081","PAIDOFF",1000,"30",NA,28,"High School or Below","male",0,"Middle","Medium"
"xqd20160082","PAIDOFF",1000,"7",NA,25,"college","male",0,"Middle","Medium"
"xqd20160083","PAIDOFF",1000,"15",NA,29,"college","male",0,"Middle","Medium"
"xqd20160084","PAIDOFF",800,"15",NA,33,"college","male",0,"Middle","Medium"
"xqd20160085","PAIDOFF",1000,"30",NA,37,"High School or Below","female",0,"Middle","Medium"
"xqd20160086","PAIDOFF",1000,"30",NA,33,"college","male",0,"Middle","Medium"
"xqd20160087","PAIDOFF",1000,"30",NA,24,"High School or Below","female",0,"Young","Medium"
"xqd20160088","PAIDOFF",1000,"30",NA,27,"college","female",0,"Middle","Medium"
"xqd20160089","PAIDOFF",800,"15",NA,43,"Bechalor","male",0,"Middle","Medium"
"xqd90160090","PAIDOFF",800,"15",NA,46,"High School or Below","female",0,"Senior","Medium"
"xqd91160291","PAIDOFF",800,"15",NA,34,"college","female",0,"Middle","Medium"
"xqd90160092","PAIDOFF",1000,"7",NA,32,"Bechalor","female",0,"Middle","Medium"
"xqd90163093","PAIDOFF",800,"15",NA,38,"High School or Below","male",0,"Middle","Medium"
"xqd20160094","PAIDOFF",800,"15",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20167095","PAIDOFF",1000,"30",NA,33,"High School or Below","male",0,"Middle","Medium"
"xqd20160096","PAIDOFF",1000,"30",NA,36,"college","male",0,"Middle","Medium"
"xqd20160097","PAIDOFF",1000,"15",NA,26,"High School or Below","male",0,"Middle","Medium"
"xqd20160098","PAIDOFF",1000,"30",NA,34,"college","male",0,"Middle","Medium"
"xqd20160099","PAIDOFF",1000,"30",NA,22,"High School or Below","male",0,"Young","Medium"
"xqd20160100","PAIDOFF",1000,"30",NA,31,"Bechalor","female",0,"Middle","Medium"
"xqd20160101","PAIDOFF",1000,"7",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160102","PAIDOFF",800,"15",NA,38,"college","male",0,"Middle","Medium"
"xqd20160103","PAIDOFF",1000,"30",NA,30,"college","male",0,"Middle","Medium"
"xqd20160104","PAIDOFF",1000,"15",NA,45,"High School or Below","male",0,"Senior","Medium"
"xqd20160105","PAIDOFF",1000,"15",NA,35,"college","male",0,"Middle","Medium"
"xqd20160106","PAIDOFF",1000,"30",NA,30,"college","male",0,"Middle","Medium"
"xqd20160107","PAIDOFF",1000,"30",NA,31,"High School or Below","male",0,"Middle","Medium"
"xqd20160108","PAIDOFF",1000,"30",NA,31,"High School or Below","male",0,"Middle","Medium"
"xqd20160109","PAIDOFF",1000,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160110","PAIDOFF",1000,"7",NA,29,"college","male",0,"Middle","Medium"
"xqd20160111","PAIDOFF",800,"15",NA,29,"college","male",0,"Middle","Medium"
"xqd20160112","PAIDOFF",1000,"30",NA,27,"college","female",0,"Middle","Medium"
"xqd20160113","PAIDOFF",1000,"30",NA,27,"college","male",0,"Middle","Medium"
"xqd20160114","PAIDOFF",1000,"30",NA,33,"college","male",0,"Middle","Medium"
"xqd20160115","PAIDOFF",1000,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160116","PAIDOFF",1000,"15",NA,25,"High School or Below","male",0,"Middle","Medium"
"xqd20160117","PAIDOFF",1000,"30",NA,40,"college","male",0,"Middle","Medium"
"xqd20160118","PAIDOFF",1000,"30",NA,23,"High School or Below","male",0,"Young","Medium"
"xqd20160119","PAIDOFF",1000,"30",NA,35,"Bechalor","male",0,"Middle","Medium"
"xqd20160120","PAIDOFF",800,"15",NA,24,"college","male",0,"Young","Medium"
"xqd20160121","PAIDOFF",1000,"30",NA,34,"college","male",0,"Middle","Medium"
"xqd20160122","PAIDOFF",1000,"30",NA,22,"High School or Below","male",0,"Young","Medium"
"xqd20160123","PAIDOFF",1000,"15",NA,20,"college","male",0,"Young","Medium"
"xqd20160124","PAIDOFF",1000,"15",NA,23,"college","male",0,"Young","Medium"
"xqd20160125","PAIDOFF",1000,"30",NA,33,"college","male",0,"Middle","Medium"
"xqd20160126","PAIDOFF",1000,"30",NA,26,"college","male",0,"Middle","Medium"
"xqd20160127","PAIDOFF",1000,"15",NA,28,"High School or Below","male",0,"Middle","Medium"
"xqd20160128","PAIDOFF",800,"15",NA,43,"High School or Below","male",0,"Middle","Medium"
"xqd78160129","PAIDOFF",1000,"15",NA,34,"Bechalor","male",0,"Middle","Medium"
"xqd20160130","PAIDOFF",1000,"30",NA,38,"Bechalor","male",0,"Middle","Medium"
"xqd20160131","PAIDOFF",1000,"15",NA,26,"High School or Below","male",0,"Middle","Medium"
"xqd20160132","PAIDOFF",800,"15",NA,43,"High School or Below","male",0,"Middle","Medium"
"xqd20160133","PAIDOFF",1000,"30",NA,26,"High School or Below","male",0,"Middle","Medium"
"xqd20160134","PAIDOFF",1000,"30",NA,33,"college","female",0,"Middle","Medium"
"xqd20160135","PAIDOFF",800,"15",NA,24,"college","male",0,"Young","Medium"
"xqd20160136","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160137","PAIDOFF",800,"15",NA,32,"High School or Below","female",0,"Middle","Medium"
"xqd20160138","PAIDOFF",1000,"15",NA,22,"college","male",0,"Young","Medium"
"xqd20160139","PAIDOFF",1000,"15",NA,47,"High School or Below","male",0,"Senior","Medium"
"xqd56160140","PAIDOFF",1000,"30",NA,20,"High School or Below","male",0,"Young","Medium"
"xqd20160141","PAIDOFF",1000,"30",NA,28,"High School or Below","male",0,"Middle","Medium"
"xqd20160142","PAIDOFF",800,"15",NA,35,"college","male",0,"Middle","Medium"
"xqd20160143","PAIDOFF",1000,"7",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160144","PAIDOFF",800,"15",NA,33,"college","female",0,"Middle","Medium"
"xqd20160145","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160146","PAIDOFF",1000,"15",NA,31,"college","male",0,"Middle","Medium"
"xqd20160147","PAIDOFF",1000,"30",NA,26,"college","female",0,"Middle","Medium"
"xqd20160148","PAIDOFF",300,"7",NA,37,"Master or Above","male",0,"Middle","Small"
"xqd20160149","PAIDOFF",1000,"15",NA,26,"Bechalor","male",0,"Middle","Medium"
"xqd20160150","PAIDOFF",800,"15",NA,35,"Bechalor","male",0,"Middle","Medium"
"xqd20160151","PAIDOFF",1000,"15",NA,29,"college","male",0,"Middle","Medium"
"xqd34160152","PAIDOFF",800,"15",NA,23,"college","male",0,"Young","Medium"
"xqd20160153","PAIDOFF",500,"15",NA,23,"college","female",0,"Young","Medium"
"xqd20160154","PAIDOFF",1000,"15",NA,30,"college","male",0,"Middle","Medium"
"xqd20160155","PAIDOFF",1000,"30",NA,34,"college","male",0,"Middle","Medium"
"xqd20160156","PAIDOFF",1000,"30",NA,36,"High School or Below","female",0,"Middle","Medium"
"xqd20160157","PAIDOFF",1000,"15",NA,26,"Bechalor","male",0,"Middle","Medium"
"xqd20160158","PAIDOFF",800,"15",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd12160159","PAIDOFF",1000,"15",NA,28,"college","female",0,"Middle","Medium"
"xqd20160160","PAIDOFF",1000,"30",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160161","PAIDOFF",1000,"15",NA,24,"High School or Below","male",0,"Young","Medium"
"xqd20160162","PAIDOFF",800,"15",NA,31,"Bechalor","male",0,"Middle","Medium"
"xqd20160163","PAIDOFF",1000,"30",NA,28,"High School or Below","male",0,"Middle","Medium"
"xqd28160164","PAIDOFF",1000,"15",NA,27,"college","female",0,"Middle","Medium"
"xqd20160165","PAIDOFF",1000,"15",NA,25,"High School or Below","male",0,"Middle","Medium"
"xqd20160166","PAIDOFF",1000,"30",NA,24,"High School or Below","male",0,"Young","Medium"
"xqd20160167","PAIDOFF",1000,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160168","PAIDOFF",800,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160169","PAIDOFF",1000,"15",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd27160170","PAIDOFF",1000,"30",NA,38,"college","male",0,"Middle","Medium"
"xqd20160171","PAIDOFF",1000,"15",NA,38,"High School or Below","male",0,"Middle","Medium"
"xqd20160172","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160173","PAIDOFF",800,"15",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd20160174","PAIDOFF",1000,"30",NA,24,"college","male",0,"Young","Medium"
"xqd20160175","PAIDOFF",800,"15",NA,39,"High School or Below","male",0,"Middle","Medium"
"xqd20160176","PAIDOFF",800,"15",NA,25,"college","male",0,"Middle","Medium"
"xqd20160177","PAIDOFF",1000,"30",NA,38,"High School or Below","male",0,"Middle","Medium"
"xqd20160178","PAIDOFF",1000,"30",NA,30,"college","male",0,"Middle","Medium"
"xqd20160179","PAIDOFF",1000,"30",NA,21,"High School or Below","male",0,"Young","Medium"
"xqd20160180","PAIDOFF",1000,"30",NA,46,"college","male",0,"Senior","Medium"
"xqd20160181","PAIDOFF",1000,"15",NA,31,"High School or Below","female",0,"Middle","Medium"
"xqd20160182","PAIDOFF",300,"7",NA,29,"High School or Below","male",0,"Middle","Small"
"xqd20160183","PAIDOFF",1000,"30",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd20160184","PAIDOFF",800,"15",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160185","PAIDOFF",1000,"30",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160186","PAIDOFF",1000,"30",NA,31,"High School or Below","female",0,"Middle","Medium"
"xqd20160187","PAIDOFF",1000,"30",NA,33,"Bechalor","male",0,"Middle","Medium"
"xqd20160188","PAIDOFF",1000,"15",NA,34,"High School or Below","male",0,"Middle","Medium"
"xqd20160189","PAIDOFF",800,"15",NA,28,"college","male",0,"Middle","Medium"
"xqd20160190","PAIDOFF",800,"15",NA,42,"college","male",0,"Middle","Medium"
"xqd20160191","PAIDOFF",1000,"30",NA,32,"college","male",0,"Middle","Medium"
"xqd20160192","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160193","PAIDOFF",1000,"15",NA,25,"High School or Below","female",0,"Middle","Medium"
"xqd20160194","PAIDOFF",1000,"30",NA,27,"High School or Below","female",0,"Middle","Medium"
"xqd20160195","PAIDOFF",800,"15",NA,21,"college","male",0,"Young","Medium"
"xqd20160196","PAIDOFF",1000,"30",NA,24,"college","male",0,"Young","Medium"
"xqd20160197","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160198","PAIDOFF",1000,"15",NA,40,"college","male",0,"Middle","Medium"
"xqd20160199","PAIDOFF",1000,"30",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160200","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160201","PAIDOFF",1000,"15",NA,30,"college","male",0,"Middle","Medium"
"xqd20160202","PAIDOFF",1000,"30",NA,26,"High School or Below","female",0,"Middle","Medium"
"xqd20160203","PAIDOFF",1000,"15",NA,36,"High School or Below","male",0,"Middle","Medium"
"xqd20160204","PAIDOFF",800,"15",NA,27,"college","male",0,"Middle","Medium"
"xqd20160205","PAIDOFF",1000,"30",NA,20,"college","male",0,"Young","Medium"
"xqd20160206","PAIDOFF",1000,"7",NA,26,"Bechalor","female",0,"Middle","Medium"
"xqd20160207","PAIDOFF",1000,"30",NA,26,"college","male",0,"Middle","Medium"
"xqd20160208","PAIDOFF",1000,"30",NA,27,"college","male",0,"Middle","Medium"
"xqd20160209","PAIDOFF",300,"7",NA,23,"High School or Below","male",0,"Young","Small"
"xqd20160210","PAIDOFF",1000,"30",NA,39,"High School or Below","male",0,"Middle","Medium"
"xqd20160211","PAIDOFF",1000,"15",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160212","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160213","PAIDOFF",1000,"30",NA,33,"High School or Below","female",0,"Middle","Medium"
"xqd20160214","PAIDOFF",1000,"30",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160215","PAIDOFF",1000,"30",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd20160216","PAIDOFF",1000,"30",NA,29,"college","female",0,"Middle","Medium"
"xqd20160217","PAIDOFF",1000,"15",NA,50,"High School or Below","male",0,"Senior","Medium"
"xqd20160218","PAIDOFF",800,"15",NA,31,"High School or Below","female",0,"Middle","Medium"
"xqd20160219","PAIDOFF",1000,"15",NA,31,"High School or Below","male",0,"Middle","Medium"
"xqd20160220","PAIDOFF",1000,"30",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160221","PAIDOFF",1000,"15",NA,35,"college","male",0,"Middle","Medium"
"xqd20160222","PAIDOFF",1000,"30",NA,39,"college","male",0,"Middle","Medium"
"xqd20160223","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160224","PAIDOFF",1000,"15",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160225","PAIDOFF",1000,"30",NA,33,"Bechalor","male",0,"Middle","Medium"
"xqd20160226","PAIDOFF",1000,"30",NA,26,"High School or Below","male",0,"Middle","Medium"
"xqd20160227","PAIDOFF",1000,"15",NA,25,"High School or Below","male",0,"Middle","Medium"
"xqd20160228","PAIDOFF",800,"15",NA,37,"Bechalor","male",0,"Middle","Medium"
"xqd20160229","PAIDOFF",800,"15",NA,26,"High School or Below","male",0,"Middle","Medium"
"xqd20160230","PAIDOFF",800,"15",NA,26,"college","male",0,"Middle","Medium"
"xqd20160231","PAIDOFF",1000,"15",NA,27,"college","male",0,"Middle","Medium"
"xqd20160232","PAIDOFF",1000,"7",NA,34,"college","female",0,"Middle","Medium"
"xqd20160233","PAIDOFF",1000,"30",NA,37,"college","male",0,"Middle","Medium"
"xqd20160234","PAIDOFF",1000,"30",NA,36,"High School or Below","male",0,"Middle","Medium"
"xqd20160235","PAIDOFF",800,"15",NA,33,"High School or Below","male",0,"Middle","Medium"
"xqd20160236","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160237","PAIDOFF",1000,"30",NA,30,"college","male",0,"Middle","Medium"
"xqd20160238","PAIDOFF",800,"15",NA,36,"High School or Below","male",0,"Middle","Medium"
"xqd20160239","PAIDOFF",1000,"15",NA,29,"college","male",0,"Middle","Medium"
"xqd20160240","PAIDOFF",1000,"15",NA,36,"High School or Below","male",0,"Middle","Medium"
"xqd20160241","PAIDOFF",1000,"30",NA,32,"High School or Below","male",0,"Middle","Medium"
"xqd20160242","PAIDOFF",1000,"15",NA,29,"High School or Below","female",0,"Middle","Medium"
"xqd20160243","PAIDOFF",800,"15",NA,36,"Bechalor","male",0,"Middle","Medium"
"xqd20160244","PAIDOFF",800,"15",NA,30,"High School or Below","female",0,"Middle","Medium"
"xqd20160245","PAIDOFF",1000,"7",NA,31,"college","male",0,"Middle","Medium"
"xqd20160246","PAIDOFF",1000,"30",NA,19,"High School or Below","female",0,"Young","Medium"
"xqd20160247","PAIDOFF",800,"15",NA,26,"college","male",0,"Middle","Medium"
"xqd20160248","PAIDOFF",800,"15",NA,34,"High School or Below","male",0,"Middle","Medium"
"xqd20160249","PAIDOFF",1000,"30",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd20160250","PAIDOFF",1000,"15",NA,35,"Bechalor","female",0,"Middle","Medium"
"xqd20160251","PAIDOFF",800,"15",NA,38,"college","male",0,"Middle","Medium"
"xqd20160252","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160253","PAIDOFF",1000,"30",NA,28,"High School or Below","male",0,"Middle","Medium"
"xqd20160254","PAIDOFF",500,"7",NA,22,"High School or Below","male",0,"Young","Medium"
"xqd20160255","PAIDOFF",1000,"30",NA,32,"college","male",0,"Middle","Medium"
"xqd20160256","PAIDOFF",1000,"30",NA,31,"college","male",0,"Middle","Medium"
"xqd20160257","PAIDOFF",800,"15",NA,28,"college","male",0,"Middle","Medium"
"xqd20160258","PAIDOFF",1000,"15",NA,37,"college","female",0,"Middle","Medium"
"xqd20160259","PAIDOFF",1000,"7",NA,25,"college","male",0,"Middle","Medium"
"xqd20160260","PAIDOFF",1000,"30",NA,19,"High School or Below","male",0,"Young","Medium"
"xqd20160261","PAIDOFF",800,"15",NA,51,"college","male",0,"Senior","Medium"
"xqd20160262","PAIDOFF",1000,"15",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160263","PAIDOFF",800,"30",NA,23,"college","female",0,"Young","Medium"
"xqd20160264","PAIDOFF",1000,"15",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160265","PAIDOFF",800,"15",NA,23,"college","male",0,"Young","Medium"
"xqd20160266","PAIDOFF",1000,"15",NA,34,"Bechalor","female",0,"Middle","Medium"
"xqd20160267","PAIDOFF",800,"15",NA,31,"Bechalor","female",0,"Middle","Medium"
"xqd20160268","PAIDOFF",1000,"15",NA,24,"High School or Below","male",0,"Young","Medium"
"xqd20160269","PAIDOFF",1000,"30",NA,42,"High School or Below","male",0,"Middle","Medium"
"xqd20160270","PAIDOFF",800,"30",NA,40,"college","female",0,"Middle","Medium"
"xqd20160271","PAIDOFF",1000,"30",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160272","PAIDOFF",1000,"30",NA,32,"college","female",0,"Middle","Medium"
"xqd20160273","PAIDOFF",1000,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160274","PAIDOFF",1000,"30",NA,35,"High School or Below","male",0,"Middle","Medium"
"xqd20160275","PAIDOFF",1000,"30",NA,30,"Bechalor","male",0,"Middle","Medium"
"xqd20160276","PAIDOFF",800,"15",NA,44,"college","male",0,"Middle","Medium"
"xqd20160277","PAIDOFF",800,"15",NA,37,"High School or Below","male",0,"Middle","Medium"
"xqd20160278","PAIDOFF",1000,"30",NA,31,"college","male",0,"Middle","Medium"
"xqd20160279","PAIDOFF",800,"15",NA,36,"college","male",0,"Middle","Medium"
"xqd20160280","PAIDOFF",800,"30",NA,31,"college","male",0,"Middle","Medium"
"xqd20160281","PAIDOFF",800,"15",NA,42,"High School or Below","male",0,"Middle","Medium"
"xqd20160282","PAIDOFF",1000,"15",NA,28,"Bechalor","male",0,"Middle","Medium"
"xqd20160283","PAIDOFF",1000,"30",NA,30,"college","male",0,"Middle","Medium"
"xqd20160284","PAIDOFF",1000,"30",NA,30,"High School or Below","male",0,"Middle","Medium"
"xqd20160285","PAIDOFF",1000,"15",NA,24,"Bechalor","male",0,"Young","Medium"
"xqd20160286","PAIDOFF",1000,"30",NA,34,"Bechalor","male",0,"Middle","Medium"
"xqd20160287","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160288","PAIDOFF",1000,"30",NA,38,"High School or Below","female",0,"Middle","Medium"
"xqd20160289","PAIDOFF",1000,"30",NA,34,"Bechalor","male",0,"Middle","Medium"
"xqd20160290","PAIDOFF",800,"15",NA,28,"High School or Below","male",0,"Middle","Medium"
"xqd20160291","PAIDOFF",1000,"15",NA,30,"college","female",0,"Middle","Medium"
"xqd20160292","PAIDOFF",1000,"30",NA,41,"High School or Below","male",0,"Middle","Medium"
"xqd20160293","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160294","PAIDOFF",1000,"30",NA,37,"High School or Below","male",0,"Middle","Medium"
"xqd20160295","PAIDOFF",1000,"30",NA,36,"Bechalor","male",0,"Middle","Medium"
"xqd20160296","PAIDOFF",1000,"30",NA,30,"college","female",0,"Middle","Medium"
"xqd20160297","PAIDOFF",800,"15",NA,27,"college","male",0,"Middle","Medium"
"xqd20160298","PAIDOFF",1000,"30",NA,29,"High School or Below","male",0,"Middle","Medium"
"xqd20160299","PAIDOFF",1000,"30",NA,40,"High School or Below","male",0,"Middle","Medium"
"xqd20160300","PAIDOFF",1000,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160301","COLLECTION",1000,"15",76,29,"college","male",0,"Middle","Medium"
"xqd20160302","COLLECTION",1000,"30",61,37,"High School or Below","male",0,"Middle","Medium"
"xqd20160303","COLLECTION",1000,"30",61,33,"High School or Below","male",0,"Middle","Medium"
